# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	ra	dec
16668	25.564	99	24.971	99	99	99	76.89117036	-67.47312263
10148	25.029	24.294	23.446	0.06	0.074	0.063	76.85002132	-67.47546916
6877	26.035	25.057	23.795	0.017	0.021	0.019	76.82466826	-67.47691178
7704	23.439	22.995	22.278	0.004	0.019	0.001	76.83089046	-67.4765537
5757	24.413	23.783	23.048	0.044	0.089	0.006	76.81453333	-67.477484
9514	22.035	21.701	21.222	0.021	0.013	0.007	76.84509935	-67.47574181
2437	99	25.702	24.594	99	99	99	76.78412261	-67.47920714
8897	99	26.172	25.152	99	0.07	0.165	76.84037751	-67.47600891
6515	99	26.621	25.543	99	99	0.213	76.82133163	-67.47709288
6383	25.602	24.809	23.843	0.045	0.058	0.025	76.82019306	-67.47715666
32229	99	26.631	25.252	99	99	0.017	76.94856272	-67.46979911
10777	24.02	23.5	22.767	0.052	0.044	0.021	76.85458996	-67.47519283
9101	19.974	19.13	18.113	0.008	0.008	0.015	76.84194567	-67.4759137
10630	25.645	24.839	23.841	0.048	0.064	0.031	76.85350564	-67.47525331
2272	19.963	19.149	18.18	0.008	0.005	0.013	76.78239657	-67.47929481
17866	23.116	22.677	22.087	0.032	0.01	0.016	76.89695648	-67.47276189
9355	24.618	23.952	23.173	0.04	0.022	0.019	76.84383563	-67.47580089
31143	25.215	24.576	23.631	0.007	99	0.018	76.94470499	-67.47001405
29306	99	26.077	24.739	99	99	0.042	76.93873666	-67.47035772
13042	24.02	23.484	22.689	0.028	0.018	99	76.86985172	-67.47431275
13899	99	26.05	24.817	99	99	99	76.8753017	-67.47399818
16558	26.368	99	25.313	99	99	99	76.89039303	-67.4731334
5215	24.05	23.365	22.504	0.036	0.024	0.022	76.80978106	-67.47773488
11489	21.511	21.245	20.872	0.011	0.011	0.013	76.85915336	-67.47492112
32379	24.592	23.961	23.156	0.06	0.018	0.03	76.94905971	-67.46975618
4948	99	26.196	24.962	99	0.07	0.045	76.80731177	-67.47787095
30972	24.616	23.971	23.072	0.002	0.047	0.016	76.9440698	-67.47004146
7601	24.475	24.05	99	99	99	99	76.8300988	-67.476574
22062	26.49	99	24.266	99	99	99	76.91438915	-67.47174993
8647	20.307	19.973	19.469	0.014	0.019	0.016	76.83823943	-67.47610635
16374	99	26.075	24.135	99	0.086	0.427	76.88948937	-67.47317454
4260	99	25.909	24.882	99	0.135	0.124	76.80094281	-67.47822429
17159	26.526	99	25.656	99	99	99	76.89340711	-67.47294618
6454	20.878	20.558	20.088	0.003	0.005	0.013	76.82082803	-67.4770924
33181	99	26.722	26.751	99	99	99	76.95176414	-67.4695867
4773	24.451	23.793	23.049	0.029	0.013	0.013	76.80573007	-67.47794957
6182	99	24.827	23.879	99	0.038	0.02	76.81833145	-67.47723131
20552	24.361	23.864	23.13	0.034	0.056	0.029	76.9086364	-67.4720677
21316	26.462	99	25.399	99	99	99	76.91171775	-67.47189027
35717	25.958	24.976	23.996	0.136	0.054	0.044	76.96126241	-67.46903396
18861	25.985	25.423	23.8	99	0.131	99	76.90133855	-67.47248132
5550	99	26.047	24.735	99	0.094	0.029	76.81261377	-67.47754698
11844	99	26.11	24.662	99	99	0.024	76.86157073	-67.47475461
3663	26.649	26.311	24.907	99	99	0.031	76.7952106	-67.47853302
30241	99	26.724	25.064	99	99	0.021	76.9416997	-67.47015315
17844	24.375	23.732	22.96	0.066	0.034	0.051	76.89674817	-67.47273847
10229	23.297	22.783	22.18	0.011	0.008	0.005	76.85052256	-67.47538371
9943	26.249	26.53	99	99	99	99	76.84823217	-67.47551189
23075	99	26.173	25.336	99	99	99	76.91785382	-67.47151286
11934	26.695	25.503	24.451	99	0.008	0.051	76.86220324	-67.47470221
18734	24.607	24.026	23.161	0.097	0.146	0.05	76.90072507	-67.4724953
3842	24.123	23.502	22.633	0.057	0.024	0.012	76.79694854	-67.47841618
15152	24.874	24.379	23.412	0.028	0.015	0.005	76.88258227	-67.47353317
8556	24.706	24.056	23.2	0.032	0.066	0.047	76.83732909	-67.47611854
19636	24.814	26.052	99	99	99	99	76.90462029	-67.47226461
10835	99	24.861	23.919	99	0.122	0.101	76.85475467	-67.47511925
29355	23.559	23.095	22.391	0.042	0.023	0.015	76.93864598	-67.470305
36756	99	25.77	24.684	99	0.002	0.027	76.96552844	-67.46875261
13634	25.727	24.763	23.783	0.115	0.019	0.027	76.8734894	-67.4740462
4928	23.969	23.352	22.469	0.045	0.013	0.003	76.80695519	-67.47783928
7781	24.201	23.61	22.842	0.032	0.024	0.02	76.83114808	-67.47646274
19413	22.891	22.48	21.875	0.017	0.008	0.004	76.90363676	-67.47231598
6499	99	23.905	22.796	99	99	0.011	76.82095152	-67.477041
29790	99	24.765	26.672	99	99	99	76.94006574	-67.47021657
22502	26.095	25.56	24.313	0.205	99	0.084	76.91588793	-67.47160879
36755	26.333	25.772	24.684	99	99	0.027	76.96550107	-67.46874652
15541	99	26.263	24.853	99	99	0.11	76.88465054	-67.4734002
25751	26.335	25.713	24.42	0.082	0.045	0.019	76.92704027	-67.47096403
17017	26.322	25.256	23.991	99	0.044	0.001	76.89252455	-67.4729462
17488	25.888	24.983	23.89	0.087	0.074	99	76.89487391	-67.47281131
10812	25.796	24.838	23.863	99	0.009	0.01	76.85457065	-67.47511786
26631	26.189	25.306	24.31	0.005	0.099	0.039	76.92982524	-67.47079963
22267	24.158	23.451	99	0.067	0.047	99	76.91496967	-67.47165404
23550	99	26.263	24.026	99	0.034	99	76.91941269	-67.47139771
5125	22.366	22.017	21.48	0.001	0.016	0.011	76.80876367	-67.47772408
12648	99	25.862	24.282	99	0.026	0.076	76.86696492	-67.47440615
5477	22.842	22.441	21.832	0.01	0.012	0.013	76.81177498	-67.47755206
6911	24.358	23.745	22.986	0.023	0.016	0.028	76.82457466	-67.47682392
13224	25.093	24.408	23.476	0.117	0.061	0.027	76.87082139	-67.4741832
30887	99	26.174	24.799	99	99	0.005	76.94360255	-67.47000123
8695	21.785	21.436	20.879	0.002	0.012	0.045	76.83843095	-67.47602915
9480	25.772	25.272	24.197	99	0.031	0.002	76.84455442	-67.47567982
12646	26.652	25.881	99	99	99	99	76.86693522	-67.47439995
11313	99	26.812	25.219	99	99	0.07	76.85778195	-67.47492274
7456	25.919	25.143	24.131	0.096	0.035	0.045	76.82869844	-67.47657957
31516	99	26.758	25.767	99	99	99	76.94567109	-67.46987276
15926	23.557	23.073	22.329	0.034	0.015	0.009	76.8867568	-67.47326046
24739	24.366	23.761	22.945	0.028	0.039	99	76.9235915	-67.47114144
9222	25.291	24.659	23.762	99	0.08	0.029	76.84253217	-67.47578238
8249	25.362	24.626	23.702	0.125	0.049	99	76.83475698	-67.47622565
26693	24.775	24.135	23.36	0.042	0.012	0.005	76.92997936	-67.47076996
12304	22.029	21.629	21.122	0.019	0.03	0.015	76.86467359	-67.4745175
21870	25.966	25.031	24.059	0.033	0.058	0.02	76.91342205	-67.47171866
35058	26.89	26.92	99	99	99	99	76.95834503	-67.46912915
20916	26.09	25.115	24.055	99	0.067	0.022	76.90986137	-67.47192267
19685	24.646	24.174	23.298	0.086	0.157	0.074	76.90471184	-67.47221664
10403	24.6	23.917	23.102	0.026	0.038	0.052	76.85156694	-67.47525936
4412	26.614	99	25.334	99	99	0.163	76.80203587	-67.47807728
11563	25.898	25.402	24.255	99	0.156	0.096	76.85933489	-67.47481321
17165	99	26.344	24.818	99	99	0.195	76.89313872	-67.47287749
12414	24.799	24.102	23.281	0.069	0.004	0.015	76.86533972	-67.47446795
23528	99	26.08	23.697	99	99	99	76.91921	-67.47137611
9309	24.255	23.654	22.924	0.055	0.003	0.005	76.8430625	-67.47573812
15529	25.606	24.617	23.454	0.082	0.098	0.014	76.88442618	-67.47337135
34272	24.823	24.145	23.349	0.043	0.021	0.011	76.95547782	-67.46928323
11012	99	26.708	25.836	99	99	0.043	76.85560771	-67.47501804
24090	25.855	25.09	24.045	0.105	0.049	0.051	76.92127422	-67.47125111
17889	24.885	24.093	23.296	0.046	0.037	0.072	76.89665734	-67.47266282
6457	22.104	21.806	21.37	0.011	0.006	0.007	76.8205121	-67.47701363
14468	24.554	23.938	23.181	99	99	99	76.87830077	-67.47371491
9922	99	25.936	25.112	99	99	0.136	76.84781214	-67.47545679
10327	22.451	21.884	21.075	0.01	0.017	0.003	76.8509774	-67.47527378
5345	24.274	23.661	22.819	0.027	0.053	0.003	76.81054456	-67.47757139
9811	21.696	21.382	20.884	0.003	0.004	0.014	76.8469351	-67.47549861
