# id	f435w	f555w	f814w	f435w_err	f555w_err	f814w_err	vsini	vsini uperr	vsini loerr	ra	dec
24549	20.869	20.626	20.239	0.012	0.01	0.026	36.53844871	29.09306377	66.01888293	76.90717466	-67.46751262
24489	19.8	18.926	17.898	0.003	0.009	0.02	15.08254946	7.16301549	19.32831576	76.88687246	-67.46286469
24550	21.571	21.284	20.876	0.012	0.019	0.008	131.1116515	32.32092173	32.32092173	76.89887189	-67.46558099
24586	20.705	20.171	19.44	0.009	0.006	0.006	65.13045806	5.387012992	9.143866502	76.90464847	-67.46688106
24583	21.202	20.938	20.587	0.01	0.011	0.004	53.67234658	26.13172051	50.34414634	76.91411488	-67.46908479
24579	20.842	20.479	19.926	0.002	0.006	0.016	141.8434385	11.48185601	11.48185601	76.87844878	-67.46079587
24592	21.591	21.296	20.827	0.012	0.016	0.016	141.1113726	30.66116294	30.66116294	76.88316262	-67.4618784
24598	21.844	21.521	21.058	0.014	0.015	0.004	143.7227949	23.1191314	23.1191314	76.90780014	-67.46760304
24648	20.601	20.104	19.454	0.01	0.01	0.02	70.57461801	7.911573748	12.56759534	76.88008037	-67.46112324
24654	21.271	21.008	20.581	0.011	0.028	0.021	20.30443777	45.24710785	117.3669818	76.89295279	-67.46410964
24655	22.06	21.644	21.024	0.011	0.007	0.068	67.7449633	17.450423	28.70770368	76.87902647	-67.46086799
24657	20.986	20.685	20.178	0.012	0.017	0.055	100.2898123	13.17962485	13.17962485	76.89580566	-67.46476865
24595	21.504	21.241	20.846	0.025	0.025	0.011	42.0028172	30.90997844	66.76381183	76.87562142	-67.46012213
24633	20.917	20.598	20.129	0.014	0.015	0.019	141.7855416	21.21794852	21.21794852	76.88978305	-67.46339079
24652	20.624	20.351	19.93	0.008	0.008	0.031	118.5977844	24.44182571	24.44182571	76.88379526	-67.46198339
24640	21.145	20.824	20.404	0.009	0.005	0.007	150.8252613	17.67600173	17.67600173	76.89932016	-67.46560364
24642	21.665	21.351	20.944	0.008	0.022	0.006	61.39574329	26.98191719	47.81425434	76.89877499	-67.46547566
24680	18.076	16.351	13.973	0.093	0.013	0.034	14.31292227	10.53006832	28.57588398	76.89486876	-67.46453524
24683	21.166	20.904	20.566	0.06	0.028	99	118.2339203	17.44480832	17.44480832	76.89041876	-67.4634908
24679	20.985	20.718	20.351	0.022	0.004	0.023	19.29534552	31.31959523	81.87233746	76.89997406	-67.46571502
24695	21.611	21.294	20.83	0.027	0.013	0.015	117.202877	22.82281669	22.82281669	76.87697008	-67.46034995
24672	21.004	20.737	20.36	0.009	0.012	0.011	131.2932303	27.71991802	27.71991802	76.88687315	-67.46267468
24715	20.989	20.607	20.04	0.003	0.013	0.04	135.40453	15.0059574	15.0059574	76.89242571	-67.46392521
24711	21.309	21.04	20.675	0.02	0.025	0.022	37.74714025	20.99305011	47.13059819	76.89701529	-67.46499586
24734	20.254	19.851	19.225	0.012	0.014	0.019	116.7415526	8.152498216	8.152498216	76.89541954	-67.46460195
24725	19.943	19.093	18.08	0.007	0.01	0.014	21.7170777	5.844155238	14.99410625	76.88238192	-67.46157981
24727	20.653	20.387	20.016	0.021	0.01	0.019	41.47000448	26.70069206	57.9565198	76.90933558	-67.46784392
24781	20.112	19.82	19.426	0.01	0.011	0.027	150.4194439	8.183456419	8.183456419	76.8934848	-67.46410235
24761	19.953	19.093	18.091	0.01	0.006	0.016	14.91010295	7.435381622	20.08889876	76.88808957	-67.46286929
24767	20.652	20.276	19.825	0.01	0.018	0.015	86.38283313	10.63189836	13.52742504	76.87836334	-67.46060057
24752	21.598	21.317	20.898	0.014	0.006	0.011	102.7841316	20.48124104	20.48124104	76.87119545	-67.45894542
24757	21.697	21.375	20.938	0.007	0.003	0.007	163.4744262	29.0791519	29.0791519	76.90677307	-67.46721625
24796	20.019	19.669	19.246	0.001	0.017	0.024	54.47067547	17.72315135	33.86161354	76.88293427	-67.46163301
24776	20.869	20.505	19.983	0.003	0.014	0.011	165.2023848	18.16975622	18.16975622	76.89753291	-67.46505268
24814	20.254	19.348	18.271	0.005	0.008	0.012	10.53565017	11.80278885	32.92136546	76.89666137	-67.46480095
24917	21.184	20.379	19.391	0.024	0.013	0.002	12.81328888	17.240215	47.30256789	76.87915625	-67.46062787
24815	21.342	21.024	20.674	0.01	0.025	0.083	43.65684748	26.99557961	57.4159008	76.89942074	-67.46544147
24933	20.843	20.542	20.117	0.008	0.012	0.01	73.28524352	10.64599523	16.33409863	76.90839889	-67.46741969
24888	20.068	19.213	18.197	0.004	0.006	0.013	18.97711498	8.794660608	23.04603611	76.88292514	-67.46153599
24989	20.293	19.583	18.706	0.017	0.009	0.027	25.95851985	7.13824903	17.70877951	76.88534116	-67.46200231
24982	20.953	20.615	20.093	0.013	0.016	0.012	162.264057	11.68623862	11.68623862	76.89874322	-67.46512267
24964	21.121	20.865	20.468	0.019	0.009	0.032	71.62549097	22.10559424	34.65030191	76.88830121	-67.46271568
